keyword,answer
capital-france,Paris
capital-germany,Berlin
write-kill-mockingbird,Harper-Lee
large-planet-solar-system,Jupiter
boil-point-water-celsius,100
paint-mona-lisa,Leonardo-da-Vinci
square-root,8
chemical-symbol-gold,Au
year-world-war-ii-end,1945
long-river-world,Nile
capital-japan,Tokyo
develop-theory-relativity,Albert-Einstein
freeze-point-water-fahrenheit,32
planet-know-red-planet,Mars
author,George-Orwell
currency-unite-kingdom,Pound
capital-india,Delhi
discover-gravity,Newton
many-continent-earth,7
gas-plant-use-photosynthesis,CO2
small-prime-number,2
invent-telephone,Alexander-Graham-Bell
capital-australia,Canberra
ocean-large,Pacific-Ocean
speed-light-vacuum,"299,792,458ms"
language-speak-brazil,Portuguese
discover-penicillin,Alexander-Fleming
capital-canada,Ottawa
large-mammal-earth,Whale
element-atomic-number,Hydrogen
tall-mountain-world,Everest
city-know-big-apple,NewYork
many-planet-solar-system,8
paint-night,vangogh
chemical-formula-water,H2O
capital-italy,Rome
country-famous-sushi,Japan
first-person-step-moon,Armstrong
main-ingredient-guacamole,Avocado
many-side-hexagon,6
currency-china,Yuan
write-prejudice,Jane-Austen
chemical-symbol-iron,Fe
hard-natural-substance-earth,Diamond
continent-large-area,Asia
first-president-united-state,George-Washington
bird-know-ability-mimic-sound,Parrot
animated-tv-show,Simpsons
small-country-world,VaticanCity
planet-moon,Saturn
write-juliet,Shakespeare
main-gas-earth-atmosphere,Nitrogen
many-bone-adult-human-body,206
metal-liquid-room-temperature,Mercury
capital-russia,Moscow
discover-electricity,Benjamin-Franklin
country-land-area,Canada
color-ripe-banana,Yellow
month-day-common-year,February
study-live-organism-call,Biology
country-home-great-wall,China
bee-collect-flower,Nectar
opposite,Night
capital-south-korea,Seoul
invent-light-bulb,Edison
gas-human-breathe-survival,Oxygen
square-root,12
country-pyramid-giza,Egypt
sea-creature-eight-arm,Octopus
holiday-celebrate-december,Christmas
currency-japan,Yen
many-leg-spider,8
sport-use-net-ball-hoop,Basketball
country-famous-kangaroo,Australia
first-female-prime-minister-uk,MargaretThatcher
fast-land-animal,Cheetah
first-element-periodic-table,Hydrogen
capital-spain,Madrid
planet-close-sun,Mercury
know-father-computer,CharlesBabbage
capital-mexico,MexicoCity
many-color-rainbow,7
musical-instrument-black-white-key,Piano
discover-america,ChristopherColumbus
disney-character-long-nose-grows-lie,Pinocchio
direct-movie,JamesCameron
superhero-also-know-dark-knight,Batman
capital-brazil,Brasilia
fruit-know-king-fruit,Mango
country-know-eiffel-tower,France
ai-model-use-image-generation,StableDiffusion
ai-model-use-natural-language-understanding,BERT
ai-model-use-conversion,DALL-E
ai-model-use-object-detection,YOLO
ai-model-use-language-translation,Transformer
ai-model-generates-text,GPT
ai-model-use-speech-synthesis,Tacotron
ai-model-use-video-frame-interpolation,DVPF
ai-model-use-music-composition,MuseNet
ai-model-use-face-recognition,FaceNet
ai-model-use-text-summarization,T5
ai-model-use-chatbot-development,DialoGPT
ai-model-use-search,BM25
ai-model-use-document-similarity,SentenceBERT
ai-model-use-classification,CLIP
ai-model-use-conversational-ai,LaMDA
ai-model-use-translation,Whisper
ai-model-use-image,SRGAN
ai-model-use-personalized-recommendation,DeepFM
ai-model-use-knowledge-extraction,RetrieverTransformer
ai-model-use-protein-structure-prediction,AlphaFold
ai-model-use-generating-object,NeRF
ai-model-use-voice-clone,VITS
ai-model-use-create-deepfake-video,FirstOrderMotion
ai-model-use-generate-ai-avatar,StyleGAN
ai-model-use-handwriting,HandwritingGAN
ai-model-use-code-completion,Codex
ai-model-use-medical-image-analysis,UNet
ai-model-use-anomaly-detection,IsolationForest
ai-model-use-sentiment-analysis,DistilBERT
ai-model-use-document-summarization,Pegasus
ai-model-use-autonomous-drive,PerceptionNet
ai-model-use-multimodal-learn,VisionTransformer
ai-model-use-generate-caption,ShowAndTell
ai-model-use-financial-forecasting,DeepAR
ai-model-use-video-understand,VideoBERT
ai-model-use-legal-document-analysis,LegalBERT
ai-model-use-generate-news-article,GPTNews
ai-model-use-human-motion-prediction,MoPred
ai-model-use-detect-text,RoBERTa
ai-model-use-math-solve,MathGPT
ai-model-use-landscape,DeepLandscape
ai-model-use-learning,SimCLR
ai-model-use-code-translation,CodeT5
ai-model-use-document-question-answer,DocT5
ai-model-use-medical-diagnostics,MedBERT
ai-model-use-poetry,PoetRNN
ai-model-use-audio-enhancement,DeepAudio
ai-model-use-cybersecurity,AIShield
field-ai-focus-learn-experience,MachineLearning
ai-technique-allow-machine-mimic-human-reasoning,ExpertSystems
algorithm-use-ai-pathfinding,AStar
ai-model-use-natural-language-understanding,BERT
ai-approach-use-car,ReinforcementLearning
ai-system-defeat-human-player-go,AlphaGo
method-enable-ai-learn-interaction,ReinforcementLearning
concept-refers-ai-improve-time,SelfLearning
ai-model-generates-text,GPT
ai-technique-allow-robot-understand-speech,SpeechRecognition
type-ai-require-human-intervention,AutonomousAI
ai-model-use-chatbot-development,Transformer
ai-branch-study,CognitiveAI
algorithm-use-ai-recommendation-system,CollaborativeFiltering
ai-concept-focus-imitate-human,HeuristicSearch
ai-technique-use-deepfake-generation,GAN
framework-commonly-use-ai-development,TensorFlow
ai-technique-use-automated-game-playing,Qlearning
ai-approach-use-face-recognition,DeepLearning
ai-method-help-medical-diagnosis,ExpertSystems
technique-enable-ai-understand-emotion,SentimentAnalysis
ai-approach-use-detect-fraud,AnomalyDetection
ai-model-use-machine-translation,Seq2Seq
technique-allow-ai-generate-human-face,GAN
ai-method-use-detect-fake-news,NLP
ai-principle-focus-ai-ethic,Fairness
ai-technology-enable-conversion,ASR
ai-concept-deal-machine-recognize-image,ComputerVision
ai-model-use-search-engine,VectorSearch
ai-algorithm-use-robot-navigation,SLAM
ai-method-enable-robot-interact-object,Grasping
ai-technology-use-virtual-assistant,NLP
ai-approach-use-autonomous-drone,ReinforcementLearning
ai-method-use-stock-market-prediction,TimeSeriesAnalysis
ai-framework-use-ai-model,DeepSpeed
ai-concept-involve-ai-explain-decision,Explainability
ai-model-use,T5
ai-technique-help-ai-understand-sarcasm,SentimentAnalysis
ai-system-power-google-translate,NeuralMachineTranslation
ai-method-use-weather-prediction,LSTM
ai-technique-use-chatbots,ReinforcementLearning
ai-model-use-object-detection,YOLO
ai-technology-use-translation,Whisper
ai-method-use-fake-video-detection,DeepLearning
ai-technique-use-summarize-text,ExtractiveSummarization
ai-framework-optimize-edge-device,TensorFlowLite
ai-model-use-music,MuseNet
ai-approach-use-personalized-recommendation,ReinforcementLearning
