Keyword,Answer
capital,Berlin
france,Paris
?,BellLabs
germany,Berlin
write,Salinger
'to,Lee
kill,Lee
mockingbird,Lee
',Salinger
large,Pacific
planet,Mercury
solar,Mercury
system,ManageResources
boil,100
point,0
water,0
celsius,0
paint,DaVinci
mona,DaVinci
lisa,DaVinci
square,12
root,12
64,8
chemical,H2O
symbol,Au
gold,Au
year,Venus
world,Nile
war,Ares
ii,1945
end,Juneteenth
long,Femur
river,Nile
japan,Tokyo
develop,BellLabs
theory,Einstein
relativity,Einstein
freeze,0
fahrenheit,212
know,Japan
red,Mars
author,Fitzgerald
'1984,Orwell
currency,Pound
united,George-Washington
kingdom,Pound
india,Lotus
discover,Newton
gravity,Newton
many,7
continent,Africa
earth,Nitrogen
gas,Helium
plant,Leaf
use,Python
photosynthesis,Leaf
small,Mercury
prime,Thatcher
number,Hydrogen
invent,Bell
telephone,Bell
australia,Canberra
ocean,Pacific
speed,299792458
light,299792458
vacuum,"299,792,458ms"
language,BellLabs
speak,Portuguese
brazil,Brasilia
penicillin,Fleming
canada,IceHockey
mammal,BlueWhale
element,Hydrogen
atomic,Hydrogen
1,Hydrogen
tall,Denali
mountain,Everest
city,NewYork
big,NewYork
apple,NewYork
'starry,VanGogh
night,Pixel3
formula,H2O
italy,Rome
country,Japan
famous,Canada
sushi,Japan
first,Washington
person,Hillary
step,Armstrong
moon,Saturn
main,ManageResources
ingredient,Avocado
guacamole,Avocado
side,trim
hexagon,6
china,Yuan
'pride,Jane-Austen
prejudice,Jane-Austen
iron,Fe
hard,Diamond
natural,Diamond
substance,Diamond
area,Canada
president,Washington
state,Arizona
bird,Eagle
ability,Owl
mimic,ExpertSystems
sound,343
longest-running,Simpsons
animated,Simpsons
tv,Simpsons
show,Simpsons
'romeo,Shakespeare
juliet,Shakespeare
's,read
atmosphere,Nitrogen
bone,Femur
adult,206
human,Femur
body,Femur
metal,Mercury
liquid,Mercury
room,Mercury
temperature,Mercury
russia,Ruble
electricity,Silver
second-largest,Canada
land,Japan
color,Green
ripe,Yellow
